iyear,specificity,vicinity,suicide,attacktype1,targtype1,targsubtype1,guncertain1,individual,nperps,nperpcap,claimed,weapsubtype1,weaptype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,1,0,0,3,3,23,0,0,,,,7,6,,,,7,,,1
1996,1,0,0,3,14,74,0,0,6,,,12,6,13,0,0,38,0,0,1
1996,1,0,0,3,19,99,0,0,,,,16,6,14,,,30,,,1
1996,3,0,0,2,4,29,0,0,,,,5,5,6,,,5,,,1
1996,4,0,0,9,14,83,0,0,,,,,13,2,,,,,,1
1996,4,0,0,3,19,99,1,0,2,,,28,6,8,0,0,30,0,0,1
1996,1,0,0,3,14,74,0,0,,,,16,6,1,,,46,,,1
1996,1,0,0,2,3,23,0,0,,,,5,5,,,,,,,1
1996,1,0,0,2,3,23,0,0,,,,5,5,,,,,,,1
1996,1,0,0,2,3,23,0,0,,,,5,5,,,,,,,1
1996,1,0,0,3,1,8,0,0,1,,,11,6,,,,,,,1
1996,1,0,0,3,1,8,0,0,1,,,11,6,,,,,,,1
1996,1,0,0,3,20,,0,0,,,,11,6,,,,,,,1
1996,1,0,0,3,20,,0,0,,,,11,6,,,,,,,1
1996,1,0,0,3,20,,0,0,,,,11,6,,,,,,,1
1996,1,0,0,3,3,25,0,0,,,,16,6,3,,,7,,,1
1996,1,0,0,3,3,23,0,0,,,,16,6,1,,,3,,,1
1996,1,0,0,8,2,19,0,0,,,,21,9,5,,5,,,,1
1996,1,0,0,3,2,15,0,0,,,,15,6,,,,5,,,1
1996,1,1,0,3,4,34,0,0,,,,8,6,,,,8,,,1
1996,1,0,0,3,4,29,0,0,,,,7,6,2,,,,,,1
1996,2,0,0,2,1,,0,0,,,,5,5,11,,,,,,0
1996,1,0,0,6,10,53,0,0,,,,,13,0,,,,,,0
1996,1,1,0,3,4,29,0,0,,,,16,6,6,,,4,,,1
1996,1,0,0,2,14,84,0,0,,,,5,5,8,,,5,,,1
1996,1,0,0,6,18,97,0,0,,,,5,5,6,,,0,,,0
1996,3,0,0,2,4,34,0,0,,,,5,5,9,,,3,,,1
1996,1,0,0,3,4,35,0,0,,,,8,6,1,,,5,,,1
1996,1,0,0,3,15,,0,0,,,,7,6,2,,,100,,,1
1996,1,0,0,3,14,74,0,0,,,,7,6,,,,25,,,1
1996,1,0,0,6,10,53,0,0,3,,,,13,,,,,,,0
